date,SPY,QQQ,IWM,EFA,EEM,TLT,GLD,DBC
2015-01-01,101.7535,101.3559,99.8698,99.4393,100.6272,98.6534,100.3949,100.0164
2015-01-02,100.7371,99.5226,98.8461,99.8413,101.8597,98.1397,100.3691,99.5028
2015-01-05,101.1675,100.7242,100.6153,101.3078,104.0456,98.0813,98.8416,102.4856
2015-01-06,101.8875,101.1455,101.1815,100.4937,104.6959,96.607,98.4691,102.9173
2015-01-07,100.4192,99.7374,98.0817,100.261,103.7191,96.9698,101.1259,102.6469
2015-01-08,99.3922,97.581,98.1824,99.324,101.3576,97.2918,99.517,102.9542
2015-01-09,99.4358,96.8606,98.7696,99.4768,102.1796,96.8743,98.9059,101.0829
2015-01-12,97.0966,96.9325,99.5552,100.0847,100.748,96.0009,98.0378,100.0743
2015-01-13,97.1615,97.8968,100.4229,101.393,101.5216,97.1682,99.3112,98.8292
2015-01-14,96.5135,97.5493,101.9909,101.6103,104.4563,98.6789,98.2602,99.9102
2015-01-15,97.8356,99.138,104.2348,102.4957,104.6254,99.0213,98.6184,101.2218
2015-01-16,99.218,100.1617,104.259,101.9701,109.1764,100.1567,99.5255,101.4877
2015-01-19,99.2019,100.3664,104.9341,100.4826,110.0745,100.2745,99.907,101.8382
2015-01-20,100.614,100.9292,105.5523,102.0991,110.3519,101.0769,99.8964,104.6065
2015-01-21,100.315,102.1428,105.5421,103.5009,109.6743,100.7157,99.582,103.6233
2015-01-22,100.1141,102.2707,103.0492,102.2531,112.0731,100.0372,99.3781,102.181
2015-01-23,100.0253,102.5397,103.1054,102.2495,113.0274,102.0315,98.8597,102.6624
2015-01-26,98.5726,101.5307,102.7456,101.1228,111.3546,101.2585,99.5705,101.412
2015-01-27,99.2295,103.942,103.6762,101.3411,112.0168,101.1805,100.1081,103.0235
2015-01-28,99.9093,103.8787,102.2987,101.9403,112.1336,101.2707,99.2235,96.6364
2015-01-29,100.0724,103.9442,100.5849,102.2307,112.3116,101.3494,100.403,98.5662
2015-01-30,100.4625,103.7382,102.2865,101.6241,112.2376,101.5816,101.5082,100.3993
2015-02-02,101.0039,104.8888,103.9731,104.6893,115.8324,101.303,102.5699,100.0844
2015-02-03,101.6871,104.1157,103.026,103.5874,114.432,101.1717,103.0333,102.7788
2015-02-04,100.9992,104.1517,103.1579,103.7459,114.892,101.3272,103.5649,101.2758
2015-02-05,100.9645,103.9394,105.3969,102.6915,114.5062,100.9074,102.2822,101.8165
2015-02-06,101.4763,106.1371,106.6852,102.9187,114.3255,101.1828,100.1912,101.4438
2015-02-09,102.2913,107.3317,103.9652,103.4733,116.4486,100.2383,102.582,103.5392
2015-02-10,102.8658,107.3074,107.5784,104.5193,114.8638,101.2583,102.1942,106.1295
2015-02-11,102.7557,108.4124,105.8991,104.6457,112.1286,101.912,102.6232,108.0722
2015-02-12,105.2182,111.0662,108.1281,106.0705,114.7417,101.4985,102.1222,110.9441
2015-02-13,106.1273,112.1675,106.4785,105.6431,114.2753,100.5683,101.0386,112.6507
2015-02-16,105.291,111.03,105.0659,104.3635,111.9754,100.3693,100.4485,111.2634
2015-02-17,103.587,110.495,104.6375,104.4296,109.1201,100.904,101.3774,111.7338
2015-02-18,104.6037,111.1861,103.0967,105.3744,112.6605,100.5414,101.9625,112.6986
2015-02-19,105.3919,112.4834,104.2514,106.6446,114.4874,100.8279,101.897,111.6306
2015-02-20,105.1817,111.3902,105.4576,106.5181,114.4629,100.3679,101.3871,110.56
2015-02-23,104.8685,111.13,103.6428,105.7732,116.7382,101.6195,102.4765,110.5558
2015-02-24,104.0712,110.8896,101.3599,106.3242,117.5709,101.922,103.6479,110.2561
2015-02-25,104.4146,112.8404,101.8815,107.6587,120.7316,101.9941,103.0769,109.7084
2015-02-26,105.0247,113.7184,102.334,109.4753,119.8082,102.023,103.6266,109.4063
2015-02-27,106.2491,113.6752,102.1401,110.0795,118.4541,103.2557,103.0202,106.3868
2015-03-02,105.6762,113.7867,100.1276,110.6862,118.5286,102.4167,102.1848,106.9658
2015-03-03,105.239,113.5106,101.0566,110.5364,119.3318,102.6806,101.736,104.8613
2015-03-04,104.5932,114.7538,101.8721,110.4707,121.2966,103.1711,102.3668,106.2653
2015-03-05,104.8687,115.9783,100.95,111.8528,119.4713,103.4438,102.5032,105.3109
2015-03-06,104.8526,118.1401,100.8256,113.3507,121.5209,103.1724,103.4407,105.878
2015-03-09,103.9327,118.5996,101.1441,113.1765,123.1236,104.6287,105.6367,103.4581
2015-03-10,104.9585,118.9915,100.8324,112.7628,125.1871,104.2582,105.4704,102.0931
2015-03-11,105.4968,119.1556,101.1659,112.7706,124.9055,104.9967,106.2062,105.8049
2015-03-12,105.6477,120.0517,103.2414,112.535,126.2198,104.6797,106.5705,106.667
2015-03-13,106.392,120.1832,103.8823,114.6392,125.7882,103.9503,107.138,105.451
2015-03-16,105.3695,120.1618,101.0665,114.1849,123.7617,104.0481,105.1703,105.3516
2015-03-17,105.6158,120.5791,101.2899,113.3837,122.0981,103.7043,107.1957,106.0662
2015-03-18,105.6267,119.1888,100.6399,112.0285,120.4048,103.5008,107.6221,105.1537
2015-03-19,103.4564,120.4456,99.8443,110.8824,119.4996,105.7391,107.2268,104.2928
2015-03-20,103.1816,120.2443,100.1903,110.3909,118.8861,106.7876,108.3175,105.5438
2015-03-23,104.7758,120.7775,102.5563,111.4565,119.4165,107.3596,108.041,105.1042
2015-03-24,103.8746,119.0918,101.7609,111.7666,116.6299,109.0004,107.7942,105.1729
2015-03-25,104.7806,121.9016,102.7833,111.7422,120.517,109.0044,108.0988,105.5596
2015-03-26,103.9023,122.095,103.4056,112.4765,118.0461,109.0792,107.9099,103.4481
2015-03-27,103.5823,122.7279,104.375,111.2587,118.021,109.0137,106.4029,102.1576
2015-03-30,104.657,124.3049,105.5405,110.2073,115.8616,109.1691,106.3969,103.0136
2015-03-31,105.8893,126.3155,106.3808,112.279,118.5683,107.9854,108.1645,105.0224
2015-04-01,106.4844,127.9445,106.0471,114.0656,119.5412,108.1491,107.5101,104.287
2015-04-02,107.2262,129.6847,108.3983,114.6006,119.7171,105.9063,104.6211,104.0496
2015-04-03,105.2098,130.1442,108.2681,114.6564,118.6451,105.9009,103.8827,103.5711
2015-04-06,104.5536,130.3008,107.0567,114.645,119.4371,106.5665,106.2276,102.077
2015-04-07,104.4524,130.5758,107.7556,115.4586,116.1038,106.3598,106.8499,102.8041
2015-04-08,104.4598,131.3256,106.4456,114.0733,114.6774,106.0567,105.7825,101.7959
2015-04-09,103.5239,131.3539,106.3527,110.9963,113.5607,108.0321,106.6216,102.1139
2015-04-10,102.9985,129.6142,105.9333,109.4194,112.3852,109.7174,107.5327,101.0104
2015-04-13,103.1659,128.1945,105.2219,110.3884,115.0231,109.8829,106.0311,101.3116
2015-04-14,103.6588,129.4631,105.8076,112.5526,115.2187,108.994,105.6183,101.6744
2015-04-15,105.2901,128.9693,105.258,112.5366,116.8937,109.6336,106.3407,103.4556
2015-04-16,106.0196,128.2943,103.5711,112.214,120.1654,108.8821,107.8014,102.8422
2015-04-17,104.7786,128.9561,101.5214,112.1491,120.7771,108.4843,107.6463,103.407
2015-04-20,104.5521,128.6157,100.8775,112.6702,119.9773,109.0351,109.1358,102.1377
2015-04-21,104.8537,129.3675,100.5681,113.771,118.8918,110.194,108.7389,102.7015
2015-04-22,104.9456,128.1933,100.5826,111.2901,119.7362,110.4673,105.7348,104.6339
2015-04-23,104.8207,130.4292,102.0393,114.5318,122.5983,110.1983,106.2143,104.1988
2015-04-24,103.9988,130.5341,101.1691,114.9325,122.5531,110.3426,106.2077,102.0219
2015-04-27,103.657,129.8993,102.4331,114.5131,124.0617,110.851,106.9314,101.0794
2015-04-28,103.2425,128.4329,101.2987,113.6247,127.5787,110.6684,107.2313,100.8535
2015-04-29,102.8264,126.8672,99.9722,113.4771,127.3037,109.7537,106.2966,100.4842
2015-04-30,103.7495,128.3016,100.5231,114.4239,126.2898,108.4549,106.2157,99.5024
2015-05-01,104.1379,127.9586,101.3144,114.2416,126.0513,107.6786,106.4492,100.3316
2015-05-04,104.1002,128.2003,101.5902,114.9362,128.595,108.4409,107.1176,100.8355
2015-05-05,105.2604,129.0461,102.2651,115.217,128.7357,107.5933,106.6437,100.0698
2015-05-06,104.6597,130.2623,100.8266,115.8923,131.5564,108.6565,104.953,99.9257
2015-05-07,104.4013,131.2228,100.5686,117.0768,132.0849,108.5958,103.2935,97.1487
2015-05-08,103.6087,131.694,101.7421,117.3737,132.5886,108.2357,103.234,96.8429
2015-05-11,103.2896,130.0259,99.0571,117.345,131.6335,108.3301,101.268,97.3178
2015-05-12,104.0091,133.0779,100.4925,118.5702,131.7187,108.7986,99.0694,96.7104
2015-05-13,102.2674,130.6841,99.3531,115.7012,130.1677,108.5048,98.5886,96.6357
2015-05-14,100.8317,129.3541,97.12,113.691,125.8434,107.3916,97.4456,93.4272
2015-05-15,99.6357,128.2955,94.9657,112.7475,123.9424,108.0654,97.5824,94.3763
2015-05-18,99.2192,126.7412,96.0227,111.2877,121.0098,108.9285,95.0954,92.8342
2015-05-19,99.1622,127.0205,97.8892,111.2342,120.8794,111.0069,96.663,93.6646
2015-05-20,98.096,125.9523,96.849,111.5795,118.642,111.0921,94.8225,89.6767
2015-05-21,96.9572,124.382,96.5998,111.1098,119.6631,111.078,93.9915,88.787
2015-05-22,97.6563,126.4646,97.2361,110.5122,122.5165,111.6679,92.9333,88.9016
2015-05-25,98.1022,124.2356,97.0711,109.8961,123.0107,110.4354,94.0078,90.3051
2015-05-26,98.8273,127.2293,97.1706,110.6088,122.0465,110.2542,94.5625,91.005
2015-05-27,97.7529,127.0877,96.258,110.0769,121.1803,110.4531,94.6604,92.3849
2015-05-28,98.3685,127.6017,98.049,110.4995,119.1772,111.6522,94.505,93.4673
2015-05-29,97.4061,124.6722,97.1102,110.3163,118.1772,112.5814,94.892,95.6616
2015-06-01,98.0839,123.4904,95.7686,110.095,119.0037,111.8615,94.3559,96.5762
2015-06-02,99.6781,126.1812,95.2439,109.7933,121.4373,111.5854,94.9174,95.7064
2015-06-03,98.2381,128.62,93.6605,108.0645,120.3614,112.4938,94.5384,93.5185
2015-06-04,97.7844,130.6343,93.3779,107.979,122.8494,112.1605,95.4061,95.335
2015-06-05,99.3195,132.0318,93.8852,108.0059,123.6942,113.3175,96.4193,96.6661
2015-06-08,99.1548,132.0102,91.7412,108.245,122.8604,113.087,96.1061,96.9129
2015-06-09,97.7699,129.2108,91.0611,107.398,122.4481,113.6366,93.7309,94.5926
2015-06-10,98.4581,130.6642,90.1306,108.1522,123.7883,113.8004,93.1064,94.0694
2015-06-11,98.5011,128.8319,89.7363,107.4382,122.4586,114.9217,91.734,93.9837
2015-06-12,99.5228,127.7596,89.6779,109.0176,123.4283,115.2244,92.1374,95.3343
2015-06-15,99.0826,126.1787,91.3928,109.6199,123.0618,116.0655,92.0798,94.0558
2015-06-16,100.6292,129.2828,93.1565,111.0927,122.0196,114.9927,92.165,93.4601
2015-06-17,99.7402,128.8308,94.9797,111.563,122.654,116.9828,91.7015,93.6214
2015-06-18,99.3772,127.7072,94.6356,110.2904,119.9198,117.9001,93.1307,93.0514
2015-06-19,99.5016,127.779,96.3358,108.6851,120.8019,118.7659,93.3802,92.6376
2015-06-22,99.8296,126.7852,96.3382,108.2712,118.7214,118.7833,95.0111,93.4946
2015-06-23,100.7454,127.4073,98.0306,109.9914,119.2068,119.9832,95.5722,91.6573
2015-06-24,101.3001,127.7976,100.248,110.702,119.407,120.2553,95.6757,91.8058
2015-06-25,101.0582,126.7226,101.6325,110.7639,121.3231,120.5891,95.0502,91.3982
2015-06-26,102.8279,128.1016,103.8572,111.1898,122.0887,121.1007,95.2453,92.5417
2015-06-29,102.7272,125.2359,102.2371,108.6491,119.5292,122.6933,96.8472,93.8483
2015-06-30,101.8688,125.0891,101.4243,109.4569,119.5044,124.7621,98.0413,95.6765
2015-07-01,101.609,124.8809,101.8743,108.7805,118.5766,125.7252,97.1883,99.5893
2015-07-02,101.5219,122.8814,102.9851,108.1318,119.3768,126.3982,98.1171,99.3313
2015-07-03,100.5293,120.9952,101.0009,106.7419,116.9305,125.5695,99.5021,102.075
2015-07-06,100.0439,123.5833,100.8058,108.3078,117.9435,126.5258,99.8682,103.9552
2015-07-07,99.2151,122.4788,99.6898,108.9728,121.3091,127.1872,101.2704,102.9245
2015-07-08,97.5813,121.3037,99.1053,106.948,119.2976,126.6801,102.2249,101.055
2015-07-09,95.6684,120.3904,97.1881,107.3181,118.7256,126.7425,103.4046,101.2519
2015-07-10,96.8445,122.2177,98.4846,107.4627,116.6739,125.8458,102.5337,101.4366
2015-07-13,97.6497,123.4184,99.9093,107.5265,116.2806,127.0642,101.369,98.6858
2015-07-14,99.3165,125.395,101.4731,108.9437,119.1886,126.1967,102.7372,102.1385
2015-07-15,100.3782,128.955,106.4272,110.627,121.9618,125.235,104.8236,104.6151
2015-07-16,99.5635,129.3303,105.1711,109.8654,123.5214,126.8618,103.6901,106.6267
2015-07-17,98.8126,128.1086,106.0771,109.7919,123.091,126.2425,104.4549,103.1036
